Title-FR,Title-EN,Subtitle-FR,Subtitle-EN,Item-FR,Item-EN,pageID,id,Total
Revenu,Revenue,Fonctionnement,General functioning,Compensations tenant lieu de taxes,Compensation in lieu of taxes,4,2,17678150
Revenu,Revenue,Fonctionnement,General functioning,Transferts,Transfers,4,4,9468250
Revenu,Revenue,Fonctionnement,General functioning,Services rendus,Services rendered,4,5,174893150
Revenu,Revenue,Fonctionnement,General functioning,Imposition de droits,Customs and import duties,4,6,7540300
Revenu,Revenue,Fonctionnement,General functioning,Amendes et pénalités,Fines and penalties,4,7,6296200
Revenu,Revenue,Fonctionnement,General functioning,Intérêts,Interest,4,8,1400000
Revenu,Revenue,Fonctionnement,General functioning,Autres revenus,Other revenue,4,9,142000
Revenu,Revenue,Investissement,Investment,Transferts,Transfers,4,13,17079000
Revenu,Revenue,Investissement,Investment,Autres revenus d'investissement,Other investment revenues,4,15,62500
Revenu,Revenue,Taxes,Taxes,Taxes generales,General taxes,10,1,160082500
Revenu,Revenue,Taxes,Taxes,Traitement des eaux usees,Treatment of wastewater,10,12,18618100
Revenu,Revenue,Taxes,Taxes,Eaux,Water,10,10,10425300
Revenu,Revenue,Taxes,Taxes,Centres d'urgence 9-1-1,9-1-1 emergency centres,10,17,70000
Revenu,Revenue,Taxes,Taxes,Service de la dette,Service of debt,10,18,1659000
