reason,id,Total
Excédent (déficit) de l'exercice,1,13351550
Moins: revenus d'investissement,2,-17141500
Excédent (déficit) de fonctionnement de l'exercice à des fins fiscales avant conciliation à des fins fiscales,3,-3789950
avant conciliation à des fins fiscales,,
,,
CONCILIATION À DES FINS FISCALES Ajouter (déduire) Immobilisations,,
Amortissement,4,44286950
Produit de cession,5,2600000
(Gain) perte sur cession,6,
Réduction de valeur / Reclassement,7,
CONCILIATION À DES FINS FISCALES Ajouter (déduire) Immobilisations Total,8,46886950
,,
Propriétés destinées à la revente,9,
Coût des propriétés vendues,10,
Réduction de valeur / Reclassement,11,
,,
"Prêts, placements à long terme à titre d'investissement et participations dans des entreprises municipales",,
Remboursement ou produit de cession,12,
(Gain) perte sur remboursement ou sur cession,13,
Provision pour moins-value / Réduction de valeur,14,
,15,
Financement,,
Financement à long terme des activités de fonctionnement,16,10935000
Remboursement de la dette à long terme,17,-45944950
Financement Total,18,-35009950
Affectations,,
Activités d'investissement,19,1900000
Excédent (déficit) accumulé,20,
Excédent (déficit) de fonctionnement non affecté,21,7245000
Excédent de fonctionnement affecté,22,-8505500
Réserves financières et fonds réservés,23,-4926550
Dépenses constatées à taxer ou à pourvoir,24,-8087050
Investissement net dans les immobilisations et autres actifs,25,
Affectations total,26,3789950
Excédent (déficit) de fonctionnement de l'exercice à des fins fiscales,27,
