,,Ajouter,,Déduire
Modifications comptables du 1   janvier 2000,,,,
Salaires et avantages sociaux,,,15,
Intérêts sur la dette à long terme,,,16,
Avantages sociaux futurs,,,,
Déficit initial au 1   janvier 2007,,,,
   Régimes capitalisés,,,17, 2 820 000
   Régimes non capitalisés,,,18,
Avantages postérieurs au 1   janvier 2007,,,,
   Régimes capitalisés,,,,
      Mesure d'allègement pour la crise financière 2008,,,19, 1 289 950
      Autres,,,20, 422 600
   Régimes non capitalisés,,,21,
Frais de fermeture et d'après-fermeture des sites d'enfouissement,3,,22, 394 000
Mesures transitoires relatives à la TVQ,4,,24,
Utilisation du fonds général,5,,25,
Utilisation du fonds de roulement,6,,26,
Appariement fiscal pour revenus de transfert,7,,25,
Autres,,,,
,8,,26,
,9,,27,
Total,10,,28, 4 926 550
Financement à long terme des activités de fonctionnement,,,,
Mesure transitoire relative à la TVQ,11,,29,
Autre financement,12,,30,
,13,,31,
Total,14,,32, 4 926 550
