,,
Rémunération,1,103140850
,,
Charges sociales,2,29480250
,,
Biens et services,3,180268750
,,
Frais de financement Intérêts et autres frais sur la dette à long terme,4,13705050
,,
à la charge,,
   De l'organisme municipal,4,13705050
   D'autres organismes municipaux,5,10750
   Du gouvernement du Québec et ses entreprises,6,1192500
   D'autres tiers,7,
Autres frais de financement,8,2190250
,,
Contributions à des organismes,,
Organismes municipaux,9,560000
   Quotes-parts,10,14546700
   Autres,11,20516250
Autres organismes,12,44286950
,,
Amortissement des immobilisations,,
Autres,13,2794600
Total,14,412692900
