Title-FR,Title-EN,Tags,Type,Source
Hotspots Zap,ZAP Heatmap,"ZAP, wifi, wireless, internet, map, heatmap, sans fil, sansfil, carte, tourist, touristique, businesses",map,
Tout les rues,All streets,"Streets, roads, transport, map, rues, carte, chemins",map,http://donnees.ville.sherbrooke.qc.ca/storage/f/2015-04-23T12%3A16%3A03.639Z/segmentrue.kml
Les arrondissements,The boroughs,"boroughs, neighbourhoods, neighborhoods, voisines, arrondissement, arondissement, arondisement, carte, map",map,http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A39%3A33.020Z/arrondissement.kml
Nombre de rues par arondissement,Number of streets per borough,"boroughs, neighbourhoods, neighborhoods, voisines, arrondissement, arondissement, arondisement, chart, graph",chart,
"Stationnment: lots, places, et horodateurs","Parking lots, meters, and pay-stations","parking, stationnement, stationment, lot, map, businesses, carte",map,"http://donnees.ville.sherbrooke.qc.ca/storage/f/2015-04-15T12%3A16%3A14.460Z/bornenumerotee.kml, http://donnees.ville.sherbrooke.qc.ca/storage/f/2015-04-15T12%3A25%3A20.271Z/stationnementpublic.kml,http://donnees.ville.sherbrooke.qc.ca/storage/f/2015-04-15T12%3A18%3A50.388Z/horodateur.kml"
Murales et graffitis,Murals and graffiti,"graffiti, graffiti, grafitti, art, map, carte, attractions, touristique, tourist, mural, murale",map,http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-03-03T01%3A20%3A17.240Z/murs-dedies-tags-graffitis.kml
Sites interessantes,Interesting things to see,"interesting, touristic, tourist, touristique, see, voir, do, faire, graffiti, graffiti, grafitti, art, map, carte, attractions, touristique, tourist, mural, murale",,"http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A51%3A55.982Z/siteinteret.kml, http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-03-03T01%3A20%3A17.240Z/murs-dedies-tags-graffitis.kml"
Sentiers pedestres,Walk paths,"path, sentier, pedestre, walking, strolling, exercise, outdoors, randonnee, dehors, carte, map, verte",map,"http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A50%3A08.967Z/sentierpedestre.kml, <iframe src=""https://www.google.com/maps/embed?pb=!1m16!1m12!1m3!1d44843.95550315405!2d-71.9405600029131!3d45.37409576251294!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!2m1!1spark!5e0!3m2!1sen!2sca!4v1430013487421"" width=""600"" height=""450"" frameborder=""0"" style=""border:0""></iframe>, "
Pistes cyclables,Bike paths,"path, bike, bicycle, cycle, bicyclette, outdoors, randonnee, dehors, carte, map, verte",map,http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A46%3A49.758Z/pistecyclable.kml
Aller dehors,Outdoor activities,"path, sentier, pedestre, walking, strolling, exercise, outdoors, randonnee, dehors, bike, bicycle, cycle, bicyclette, carte, map",map,"http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A50%3A08.967Z/sentierpedestre.kml, http://donnees.ville.sherbrooke.qc.ca/storage/f/2014-09-18T14%3A46%3A49.758Z/pistecyclable.kml"
