,,
TAXES,,
,,
SUR LA VALEUR FONCIÈRE,,
Taxes générales,,
   Taxe foncière générale,1,160082500
   Taxes spéciales,,
     Service de la dette,2,
     Activités de fonctionnement,3,
     Activités d'investissement,4,
Taxes de secteur,,
  Taxes spéciales,5,
     Service de la dette,6,
     Activités de fonctionnement,7,
     Activités d'investissement,8,
Autres,9,
,,160082500
SUR UNE AUTRE BASE,,
"Taxes, compensations et tarification",,
   Services municipaux,,
      Eau,10,10425300
      Égout,11,
      Traitement des eaux usées,12,18618100
      Matières résiduelles,13,
      Autres,,
-,12,
-,14,
-,15,
,16,
   Centres d'urgence 9-1-1,17,700000
   Service de la dette,18,1659000
   Activités de fonctionnement,19,
   Activités d'investissement,20,
,21,31402400
Taxes d'affaires,22,
   Sur l'ensemble de la valeur locative,23,
   Autres,24,
,25,31402400
,26,191484900
