Administration générale,1,
   Application de la loi,2,
   Évaluation,3,
   Autres,4,
,,
Sécurité publique,,
   Police,5,35500
   Sécurité incendie,6,78100
   Sécurité civile,7,
   Autres,8,
,9,113600
Transport,,
   Réseau routier,,
      Voirie municipale,10,
      Enlèvement de la neige,11,
      Autres,12,
   Transport collectif,13,
   Autres,14,
,15,
Hygiène du milieu,,
   Eau et égout,,
      Approvisionnement et traitement de l'eau potable,16,
      Réseau de distribution de l'eau potable,17,
      Traitement des eaux usées,18,
      Réseaux d'égout,19,
   Matières résiduelles,,
      Déchets domestiques et assimilés,20,
      Matières recyclables,,
         Collecte sélective,,
            Collecte et transport,21,
            Tri et conditionnement,22,
         Autres,23,
      Autres,24,
   Cours d'eau,25,
   Protection de l'environnement,26,
   Autres,27,
,28,
Santé et bien-être,,
   Logement social,29,
   Autres,30,
,31,
"Aménagement, urbanisme et développement",,
"   Aménagement, urbanisme et zonage",32,
   Rénovation urbaine,33,
   Promotion et développement économique,34,
   Autres,35,
,36,
,,
Loisirs et culture,,
   Activités récréatives,37,27750
   Activités culturelles,,
      Bibliothèques,38,
      Autres,39,
,40,27750
Réseau d'électricité,41,
,42,141350
AUTRES SERVICES RENDUS ,,
Administration générale,43,587600
Sécurité publique,44,483000
Transport,,
   Réseau routier,45,2246000
   Transport collectif,,
      Transport en commun,,
            Transport régulier,46,
            Transport adapté,47,
            Transport scolaire,48,
      Autres,49,
   Autres,50,128850
Hygiène du milieu,51,450400
Santé et bien-être,52,
"Aménagement, urbanisme et développement",53,1205000
Loisirs et culture,54,1387350
Réseau d'électricité,55,168263600
,56,174751800
TOTAL DES SERVICES RENDUS,57,174893150
,,
IMPOSITION DE DROITS,,
Licences et permis,58,926000
Droits de mutation immobilière,59,6614300
Droits sur les carrières et sablières,60,
Autres,61,
,62,7540300
AMENDES ET PÉNALITÉS,63,6296200
,,
INTÉRÊTS,64,1400000
,,
AUTRES REVENUS,,
Gain (perte) sur cession d'immobilisations,65,
Produit de cession de propriétés destinées à la revente,66,
Gain (perte) sur cession de placements,67,
Contributions des promoteurs,68,
Contributions des automobilistes pour le transport en commun,69,
Contributions des organismes municipaux,70,
Autres contributions,71,204500
Autres,72,
,73,204500
