Title-FR,Title-EN,Subtitle-FR,Subtitle-EN,Item-FR,Item_EN,pageID,id,current_year,previous_year,total
Revenu,Revenue,Fonctionnement,General functioning,Taxes,Taxes,4,1,191484900,0,191484900
Revenu,Revenue,Fonctionnement,General functioning,Compensations tenant lieu de taxes,Compensation in lieu of taxes,4,2,17678150,0,17678150
Revenu,Revenue,Fonctionnement,General functioning,Quotes-parts,Shares,4,3,,0,0
Revenu,Revenue,Fonctionnement,General functioning,Transferts,Transfers,4,4,9468250,0,9468250
Revenu,Revenue,Fonctionnement,General functioning,Services rendus,Services rendered,4,5,174893150,0,174893150
Revenu,Revenue,Fonctionnement,General functioning,Imposition de droits,Customs and import duties,4,6,7540300,0,7540300
Revenu,Revenue,Fonctionnement,General functioning,Amendes et pénalités,Fines and penalties,4,7,6296200,0,6296200
Revenu,Revenue,Fonctionnement,General functioning,Intérêts,Interest,4,8,1400000,0,1400000
Revenu,Revenue,Fonctionnement,General functioning,Autres revenus,Other revenue,4,9,142000,0,142000
Revenu,Revenue,Fonctionnement,General functioning,Total de revenus,Total revenue,4,10,408902950,0,408902950
Revenu,Revenue,Investissement,Investment,Taxes,Taxes,4,11,0,0,0
Revenu,Revenue,Investissement,Investment,Quotes-parts,Quotes,4,12,0,0,0
Revenu,Revenue,Investissement,Investment,Transferts,Transfers,4,13,17079000,0,17079000
Revenu,Revenue,Investissement,Investment,Contributions des promoteurs,Promoter contributions,4,14,0,0,0
Revenu,Revenue,Investissement,Investment,Autres revenus d'investissement,Other investment revenues,4,15,62500,0,62500
Revenu,Revenue,Investissement,Investment,Quote-part dans les résultats nets d'entreprises municipales,Municipal net revenue shares,4,16,0,0,0
Revenu,Revenue,Investissement,Investment,Total d'investissements,Investment total,4,17,17141500,0,17141500
Revenu,Revenu,Fonctionnement + Investissement,General Function + Investment,Total cumulative,Cumalitive Total,4,18,426044450,0,426044450
Charges,Expenses,,,Administration générale,General administration,4,19,37569800,1914800,39484600
Charges,Expenses,,,Sécurité publique,Public security,4,20,55176900,2768650,57945550
Charges,Expenses,,,Transport,Transport,4,21,43888100,14166050,58054150
Charges,Expenses,,,Hygiène du milieu,City cleaning,4,22,30694400,12408050,43102450
Charges,Expenses,,,Santé et bien-être,Health and wellbeing,4,23,5386900,71700,5458600
