"id","name","description","civic_number","street_name","city","province","country","postal_code","public_phone_number","public_email","latitude","longitude"
"5","ZAP - Le Tapageur","Fax: ?","83","King Ouest","Sherbrooke","Québec","Canada","J1H 1P1","819-823-5444",,"45.401781","-71.889849"
"24","ZAP - Clinique optométrique Place de l'Est",,"29","10e avenue Nord","Sherbrooke","Quebec","Canada","J1E 2T1","819-563-1191","charles@cliniqueopto.com","45.408478","-71.872741"
"33","ZAP - Séminaire de Sherbrooke (22)","","195","marquette","Sherbrooke","Québec","Canada","J1H 1L6","(819) 563-2050<br/><a href=http://www.seminaire-sh","merlin@seminaire-sherbrooke.qc.ca","45.402714","-71.893628"
"60","ZAP - Cégep de Sherbrooke (17)","","475","rue du Cégep","Sherbrooke","Quebec","J1E 4K1","J1E 4K1","(819) 564-6350<br/><a href=http://www.cegepsherbro",,"45.409022","-71.883414"
"69","ZAP - CDE Solutions Informatiques","","37","Wellington","Sherbrooke","Québec","Canada","J1H 5A9","819-346-5000","jf.landry@cdesolutions.ca","45.401959","-71.890803"
"87","ZAP - Municipalité de Saint-Herméningilde","Zap pour la municipalié de Saint-Herméningilde.","776","pincipale","st-hermenegilde","quebec","canada","j0b2w0","8198494443","municipalite@st-hermenegilde.qc.ca","45.106182","-71.678102"
"92","ZAP - Clinique Dentaire Carrefour Santé","","2910","Boulevard De Portland","Sherbrooke","Quebec","Canada","J1L1R8 ","819-563-1666",,NULL,NULL
"93","ZAP - Complexe de la Cité des rivières","","950","King Ouest","Sherbrooke","Québec","Canada","J1H 1S3","819-346-1133","info@aucomplexe.com","45.398979","-71.904421"
"94","ZAP - Corporation de développement économique communautaire de Sherbrooke","","79","Wellington Nord, Bureau 302","Sherbrooke","Québec","Canada","J1H5A9","819-563-1600","cdec@cdec-sherbrooke.qc.ca ","45.402657","-71.891088"
"95","ZAP - D1. Hôtel de ville / Salle d'honneur","","191","rue de palais","Sherbrooke","Québec","Canada","J1H5H9",,,"45.404043","-71.893236"
